Date,Open,High,Low,Close,Adj Close,Volume
2018-12-20,29.604042,29.410448,33.258156,32.816872,32.816872,79664510200
2018-12-21,32.732635,30.296894,34.283394,30.796618,30.796618,54650452500
2018-12-24,33.473583,33.196667,36.558315,33.196667,33.196667,53589738600
2018-12-25,33.401596,30.452274,33.401596,31.134325,31.134325,50883625200
2018-12-26,31.093462,29.746025,32.204876,30.985903,30.985903,46472177000
2018-12-27,30.962173,28.131935,31.363220,28.294508,28.294508,44210005000
2018-12-28,28.300600,28.300600,33.359837,32.510830,32.510830,48691964400
2018-12-31,31.977234,30.164320,32.000607,30.468222,30.468222,36774643700
2019-01-01,30.458393,30.264280,32.097580,31.979933,31.979933,37942912400
2019-01-02,32.021229,31.765972,33.793324,33.433681,33.433681,41433191700
2019-01-03,33.353573,31.592480,33.420704,32.026699,32.026699,34506824800
2019-01-04,32.016525,31.437557,33.023350,32.404167,32.404167,39101057900
2019-01-07,39.279751,37.613743,39.647560,37.806274,37.806274,58689161200
2019-01-08,37.918991,37.918991,40.950657,39.479717,39.479717,64394695800
2019-01-09,39.446453,38.902725,40.278614,38.985535,38.985535,50460188200
2019-01-10,38.987137,33.031750,39.524033,33.866009,33.866009,70112443600
2019-01-11,33.683475,32.046043,34.098732,32.327629,32.327629,62898063600
2019-01-14,30.378098,30.310150,32.733948,32.358242,32.358242,59309893700
2019-01-15,32.384205,31.079926,32.706947,31.507071,31.507071,52729408700
2019-01-16,31.438587,31.268057,32.246391,31.823418,31.823418,53934796500
2019-01-17,31.850113,30.676147,31.946884,31.888649,31.888649,60938919600
2019-01-18,31.913450,30.955572,31.940605,31.311489,31.311489,56648219400
2019-01-21,31.188656,30.956665,31.389183,31.212870,31.212870,53104879200
2019-01-22,31.213305,30.324673,32.019772,31.684425,31.684425,58937436600
2019-01-23,31.669025,31.558424,32.386166,32.001957,32.001957,61352188700
2019-01-24,32.042973,31.427626,33.042126,32.776108,32.776108,61440533700
2019-01-25,32.820435,32.273335,33.209595,32.981812,32.981812,66147601900
2019-01-28,32.517124,30.523113,32.716747,31.199259,31.199259,81286029400
2019-01-29,31.235544,30.437250,31.457535,31.097111,31.097111,70784239900
2019-01-30,31.066559,30.863516,32.089375,31.930954,31.930954,69482214700
2019-01-31,31.890858,31.395460,32.437294,31.652176,31.652176,65413740600
2019-02-01,31.719521,31.127134,33.449444,32.827080,32.827080,82597765500
2019-02-04,33.464359,33.464359,34.428387,34.108627,34.108627,74003650300
2019-02-05,34.009163,33.777740,34.388397,34.256645,34.256645,70871228300
2019-02-06,34.347305,32.543476,34.347305,32.932987,32.932987,74854536500
2019-02-07,32.905399,32.878471,33.592579,33.222416,33.222416,65200293600
2019-02-08,33.235271,33.005573,43.903469,43.464718,43.464718,172169111300
2019-02-11,46.881832,42.397339,46.881832,43.182541,43.182541,122916930100
2019-02-12,43.168869,42.543179,44.143291,43.928642,43.928642,109856929300
2019-02-13,43.833340,41.416805,44.510052,41.997643,41.997643,108781559000
2019-02-14,41.875496,41.267056,42.553356,41.640553,41.640553,99774139400
2019-02-15,41.643276,41.619717,43.675793,42.699673,42.699673,104382066000
2019-02-18,43.881950,43.842010,49.219578,48.043175,48.043175,146218027100
2019-02-19,48.136169,47.268829,49.183186,47.864677,47.864677,141705058000
2019-02-20,47.820896,47.410931,52.158390,51.785965,51.785965,158293431700
2019-02-21,51.835320,48.681664,51.835320,49.151600,49.151600,125973434100
2019-02-22,49.132931,48.717381,50.027672,49.805737,49.805737,121366594800
2019-02-25,44.575951,44.575951,47.190861,46.213066,46.213066,121214147100
2019-02-26,46.176460,45.093922,46.517334,45.491131,45.491131,106032537300
2019-02-27,45.498642,44.412910,46.138302,45.581425,45.581425,106187993500
2019-02-28,45.616497,45.597649,46.920059,46.237255,46.237255,111949571200
2019-03-01,46.235413,46.149918,48.987801,47.487240,47.487240,117542517200
2019-03-04,48.334953,45.853374,48.649303,46.432034,46.432034,124346408100
2019-03-05,46.523560,46.142342,54.023880,53.132458,53.132458,200030086100
2019-03-06,53.020226,52.276752,56.267273,55.784279,55.784279,199885045100
2019-03-07,55.837765,55.079395,58.999519,57.189034,57.189034,0
2019-03-08,57.435505,55.453449,57.650024,56.099545,56.099545,197753838600
2019-03-11,57.187706,54.827072,57.848885,55.420216,55.420216,183926024200
2019-03-12,55.413017,53.495651,57.263145,56.997051,56.997051,166671199600
2019-03-13,57.075661,55.433735,57.210186,55.933182,55.933182,146562529500
2019-03-14,55.860012,55.785194,57.756115,56.584183,56.584183,161029320000
2019-03-15,56.541634,56.541634,59.386192,58.989258,58.989258,182445459400
2019-03-18,61.284283,59.502430,62.770653,60.264809,60.264809,197182681000
2019-03-19,60.224293,59.752316,60.947174,60.615566,60.615566,182412462200
2019-03-20,60.677914,58.569393,60.957047,60.846546,60.846546,199026418200
2019-03-21,60.867496,58.739544,61.082329,59.378326,59.378326,176668984800
2019-03-22,59.302608,58.887699,60.284576,59.823997,59.823997,166089482900
2019-03-25,60.302681,58.999908,60.926556,59.496738,59.496738,205786389300
2019-03-26,59.508308,58.334938,59.653008,59.343525,59.343525,202040071200
2019-03-27,59.407898,59.325237,62.288078,62.251431,62.251431,0
2019-03-28,62.222458,60.745560,62.222458,61.170486,61.170486,181835577400
2019-03-29,61.167595,60.259777,61.532341,61.301609,61.301609,197743635100
2019-04-01,60.769833,60.413887,60.985176,60.677990,60.677990,171253838100
2019-04-02,60.704708,60.537777,77.411728,76.193260,76.193260,0
2019-04-03,76.256294,76.009644,97.495255,84.921936,84.921936,0
2019-04-04,85.173927,81.568642,89.338387,84.980904,84.980904,0
2019-04-05,85.037949,84.923286,89.582016,88.677856,88.677856,0
2019-04-08,92.327896,87.064087,93.822853,89.493042,89.493042,0
2019-04-09,89.497734,85.007217,89.497734,86.786964,86.786964,0
2019-04-10,86.774330,86.747040,90.352425,88.377739,88.377739,0
2019-04-11,88.393532,76.656769,88.521744,79.677994,79.677994,0
2019-04-12,79.632637,76.441635,80.266052,78.963959,78.963959,0
2019-04-15,83.014893,76.981972,83.848152,79.054703,79.054703,0
2019-04-16,79.038223,78.028648,81.838295,81.349281,81.349281,0
2019-04-17,81.352409,79.080887,82.001778,79.327469,79.327469,206010178300
2019-04-18,79.392204,79.307556,83.201447,82.074883,82.074883,0
2019-04-19,82.098816,80.433929,83.188484,82.569221,82.569221,0
2019-04-22,77.294411,75.699577,77.889587,76.948082,76.948082,0
2019-04-23,76.853500,74.639412,79.461784,74.845024,74.845024,0
2019-04-24,74.753876,71.356064,75.235649,73.308945,73.308945,0
2019-04-25,73.245323,71.055000,74.507721,71.248116,71.248116,0
2019-04-26,71.363304,70.193672,74.513016,73.115341,73.115341,0
2019-04-29,69.784256,67.266060,70.229225,67.960381,67.960381,0
2019-04-30,67.950592,67.950592,74.668297,74.280876,74.280876,0
2019-05-01,74.303352,72.298012,75.420654,73.657768,73.657768,0
